streamer_name,videoId,title,description,publishedAt
黒井しば,c8JTr0uRlDQ,【Cooking Simulator】料理でメス力あげる【黒井しば/にじさんじ】,どうして配信告知の直後に緊急メンテ告知が出るのかなFF14くん。 ということで料理でもして時間潰そうぜ。どこに出しても恥ずかしくない雌になる！ クッキング趣味レーター ...,2020-10-15T07:49:30Z
黒井しば,5KPm9eAmFrg,わーい！ただいま～よ～！【黒井しば/にじさんじ】,1か月ほどおやすみを頂いていたわけですが、 どうしてお休みしてたのかとか、今後の事とかを軽く話せればと思います！ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ しば ...,2020-10-07T07:37:24Z
黒井しば,UtClpKVfhpQ,【Minecraft】しばかるたまいんくらふと【黒井しば/山神カルタ】,やまがみ ひさしぶりに まいくら なにする？ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ しばのTwitter：https://twitter.com/BlackShiba_chan ＝＝＝＝＝＝＝＝＝＝＝＝＝＝,2020-09-10T17:35:46Z
黒井しば,pm5oQXPMR6M,【FF14】お花畑でアハハうふふエオルゼア探検記 56【黒井しば/にじさんじ】,リア充ってもう死語？ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ 記載されている会社名・製品名・システム名などは、各社の商標、または登録商標です。 Copyright (C) 2010 ...,2020-09-07T19:22:13Z
黒井しば,iDzcfW-X04Y,【FF14】夜空が綺麗だエオルゼア探検記 55【黒井しば/にじさんじ】,二つの顔を併せ持つ女！Shiba Blackdoggy！ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ 記載されている会社名・製品名・システム名などは、各社の商標、または登録商標 ...,2020-09-05T19:42:31Z
黒井しば,3T6HLFa0Uq8,【PLAY DOG PLAY TAG】犬はとても賢く、そして勇敢な生き物です【黒井しば/にじさんじ】,犬はとても賢く、そして勇敢な生き物です。 それは時に飼い主をも凌駕するほどであり、彼らは人間にとって最上のパートナーであると言えるでしょう。（Steamページより） ...,2020-09-03T16:40:25Z
黒井しば,cLgqMbsksQU,【FF14】漆黒のカロリーが高くてつらいよエオルゼア探検記 54【黒井しば/にじさんじ】,サムネだけでもかわいく… ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ 記載されている会社名・製品名・システム名などは、各社の商標、または登録商標です。 Copyright (C) ...,2020-09-03T08:41:01Z
黒井しば,F65Aax34fG4,【FF14】あまろかわいいエオルゼア探検記 53【黒井しば/にじさんじ】,アマロかわいい～ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ 記載されている会社名・製品名・システム名などは、各社の商標、または登録商標です。 Copyright (C) 2010 ...,2020-09-02T20:43:25Z
黒井しば,Dw9Izolfp8E,【FF14】漆黒入りだぞエオルゼア探検記 52【黒井しば/にじさんじ】,うおおお・・・・・・ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ 記載されている会社名・製品名・システム名などは、各社の商標、または登録商標です。 Copyright (C) 2010 ...,2020-09-01T19:06:18Z
黒井しば,ynpnCIoei_M,【FF14】急展開だよエオルゼア探検記 51【黒井しば/にじさんじ】,どうなるん・・・・・・・・・ ＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝＝ 記載されている会社名・製品名・システム名などは、各社の商標、または登録商標です。 Copyright (C) 2010 ...,2020-09-01T09:06:52Z
