streamer_name,videoId,title,description,publishedAt
黛灰,WS2SHB4Ce7A,"10分ちょっとでわかる黛灰のポケモン配信（#4,#5編）【にじさんじ公式】",にじさんじ所属ホワイトハッカーの黛灰がポケモンシールドを遊んでみた生放送から、視聴者人気の高かったシーン等を抜粋したダイジェスト動画です。 動画編集：バスター ...,2020-11-01T10:45:13Z
黛灰,-evipoUu42I,【DbD】度が過ぎたハロウィンパーティ会場。【黛 灰 / にじさんじ】,目標：なんとかカジュアルマッチの雰囲気にする ◯コラボ相手 小野友樹 https://www.youtube.com/channel/UCBz3ZLAMLt9h_XKsd8rVTAg ...,2020-10-31T14:38:47Z
黛灰,lGg1ss0yyI4,#2【#ウォッチドッグス  レギオン】俺ハッカーVtuberなんだけど、デッドセックに入れてもらえない？【黛 灰 / にじさんじ】,ようやくチュートリアル終了って感じ。 提供：ユービーアイソフト株式会社 タイトル名：ウォッチドッグスレギオン https://www.ubisoft.com/ja-jp/game/watch-dogs/legion UBI ...,2020-10-30T17:09:38Z
黛灰,iSeub310wfU,【#ウォッチドッグス  レギオン】俺ハッカーVtuberなんだけど、デッドセックに入れてもらえない？【黛 灰 / にじさんじ】,提供：ユービーアイソフト株式会社 タイトル名：ウォッチドッグスレギオン https://www.ubisoft.com/ja-jp/game/watch-dogs/legion UBI公式のキャンペーンにインフルエンサー ...,2020-10-29T12:52:06Z
黛灰,dUHVWPJ5XQM,#2【OuterWilds】ループして世界の仕組みを解き明かし宇宙の終わりを回避する【黛 灰 / にじさんじ】,昨日を振り返ってたらやりたくなった。 ・Portal等と並ぶ名作とされてるのでまずは買ってプレイすること推奨。 ・考察含めてまずは自分で色々考えたいから既プレイの人は ...,2020-10-28T15:14:12Z
黛灰,HcgmJTeGdl0,【OuterWilds】IQ189の天才が作った謎解きゲームに挑む【黛 灰 / にじさんじ】,IQ190になるわ。 ストアページ https://store.steampowered.com/app/753640/Outer_Wilds/ ************************************************************** 少し頼みたい ...,2020-10-27T17:01:56Z
黛灰,irSJoQ1waO8,【OuterWorld】SF版スカイリムやフォールアウトみたいなゲームやる。【黛 灰 / にじさんじ】,絶対長くなるからお試しくらいの気持ちで。 ストアページ https://store.steampowered.com/app/578650/The_Outer_Worlds/ ...,2020-10-26T15:42:34Z
黛灰,5pxeXIvokhk,【アソビ大全】「今度は対戦ゲームで黛をボコボコにしたいですね」  ➡ 一年後【黛 灰 / にじさんじ】,果たし状が、差出人不明になる前に。 出雲霞 https://www.youtube.com/channel/UCLpYMk5h1bq8_GAFVBgXhPQ?sub_confirmation=1 ...,2020-10-24T15:29:25Z
黛灰,2axLqa3mbVw,【虚無】無をプレイする。【黛 灰 / にじさんじ】,楽しみ。 ストアページ ⇒ 提供： ************************************************************** 少し頼みたいこと ・放送内容に関係ない話題を話しすぎないでほしい ・他の ...,2020-10-23T13:46:35Z
黛灰,DomXQ6ozF14,【CoD:BOCW】ナイフ一本で戦場に来るやつがいるらしい。【黛 灰 / にじさんじ】,トロール。 ************************************************************** 少し頼みたいこと ・放送内容に関係ない話題を話しすぎないでほしい ・他の配信者の放送で話題に ...,2020-10-18T11:13:56Z
